subj_idx,area_size,rt,stim,response,rating,mean_rating,rating_diff
0,3,1.0536804263538215,0,0,34.9,24.786666666666672,10.113333333333326
0,1,3.330754221033203,0,0,71.0,24.77857142857143,46.221428571428575
0,4,1.109246825848459,0,0,35.0,23.7,11.3
0,1,1.3455600219458574,0,0,52.49999999999999,24.77857142857143,27.721428571428564
0,3,0.965983693358794,0,0,40.1,24.786666666666672,15.313333333333329
0,5,1.0275220701951184,0,0,37.0,25.171428571428574,11.828571428571426
0,5,1.003703908108946,0,0,43.0,25.171428571428574,17.828571428571426
0,5,0.7329601982764871,0,0,27.0,25.171428571428574,1.8285714285714256
0,3,1.0127814343613863,0,0,29.0,24.786666666666672,4.213333333333328
0,2,1.415068467358651,0,0,51.1,27.826666666666664,23.273333333333337
0,2,0.9514148884427414,0,0,43.7,27.826666666666664,15.873333333333338
0,3,0.9380647430298268,0,0,32.60000000000001,24.786666666666672,7.813333333333336
0,1,1.3670769441960149,0,0,23.9,24.77857142857143,-0.8785714285714299
0,4,0.9183419081073224,0,0,23.599999999999994,23.7,-0.10000000000000497
0,2,1.6957153263538205,0,0,48.1,27.826666666666664,20.273333333333337
0,2,0.9142903097799716,0,0,30.0,27.826666666666664,2.1733333333333356
0,4,0.812844516522091,0,0,26.499999999999996,23.7,2.799999999999997
0,5,1.1934368849451855,0,0,21.200000000000003,25.171428571428574,-3.9714285714285715
0,3,1.5491000776983128,0,0,31.1,24.786666666666672,6.313333333333329
0,5,0.8384539746057271,0,0,20.0,25.171428571428574,-5.171428571428574
0,1,1.2465944146970287,0,0,14.0,24.77857142857143,-10.778571428571428
0,4,1.3018078898621752,0,0,33.0,23.7,9.3
0,2,1.3356599446015025,0,0,16.9,27.826666666666664,-10.926666666666666
0,1,1.522229016522033,0,0,21.40000000000001,24.77857142857143,-3.3785714285714192
0,1,1.6266563352746743,0,0,16.9,24.77857142857143,-7.87857142857143
0,3,1.5700676474389184,0,0,33.80000000000001,24.786666666666672,9.013333333333339
0,5,1.0657931008609012,0,0,29.0,25.171428571428574,3.8285714285714256
0,4,0.9223155905219756,0,0,14.0,23.7,-9.7
0,3,0.7746198776967503,0,0,18.4,24.786666666666672,-6.386666666666674
0,2,0.7834755081094045,0,0,11.0,27.826666666666664,-16.826666666666664
0,2,1.6353675031932653,0,0,25.500000000000007,27.826666666666664,-2.3266666666666573
0,2,1.5575813357827428,0,0,10.999999999999996,27.826666666666664,-16.826666666666668
0,1,2.2542978245310223,0,0,44.3,24.77857142857143,19.52142857142857
0,3,1.567872438366976,0,0,41.000000000000014,24.786666666666672,16.213333333333342
0,4,1.3825590263550112,0,0,27.300000000000004,23.7,3.600000000000005
0,4,1.4476766722746106,0,0,35.8,23.7,12.099999999999998
0,3,0.7620091219469032,0,0,10.4,24.786666666666672,-14.386666666666672
0,5,0.7346721474386868,0,0,12.799999999999995,25.171428571428574,-12.371428571428579
0,5,0.6549457062828878,0,0,17.200000000000003,25.171428571428574,-7.9714285714285715
0,1,1.5988301598572434,0,0,30.1,24.77857142857143,5.321428571428573
0,2,1.2070125994414411,0,0,24.9,27.826666666666664,-2.926666666666666
0,2,1.5559688392786484,0,0,44.0,27.826666666666664,16.173333333333336
0,5,1.1228824090212584,0,0,29.0,25.171428571428574,3.8285714285714256
0,3,0.7545132844388718,0,0,11.0,24.786666666666672,-13.786666666666672
0,5,0.6987583647733118,0,0,11.7,25.171428571428574,-13.471428571428575
0,1,1.0287714112000683,0,0,2.1,24.77857142857143,-22.678571428571427
0,4,0.8556905711084255,0,0,19.600000000000005,23.7,-4.099999999999994
0,4,0.7819132446020376,0,0,19.499999999999996,23.7,-4.200000000000003
0,4,1.3715579642666853,0,0,32.1,23.7,8.400000000000002
0,4,0.9229502284324552,0,0,15.0,23.7,-8.7
0,3,0.7273701156100287,0,0,11.500000000000002,24.786666666666672,-13.28666666666667
0,4,1.827283025950237,0,0,23.8,23.7,0.10000000000000142
0,3,1.2778990956921916,0,0,22.0,24.786666666666672,-2.7866666666666724
0,5,0.6998153612767055,0,0,17.200000000000003,25.171428571428574,-7.9714285714285715
0,3,1.1842533312719752,0,0,14.9,24.786666666666672,-9.886666666666672
0,1,1.174027058032152,0,0,23.29999999999999,24.77857142857143,-1.4785714285714384
0,3,1.1683706481981062,0,0,19.7,24.786666666666672,-5.086666666666673
0,2,1.4412685146962758,0,0,21.3,27.826666666666664,-6.526666666666664
0,2,1.1068645294471935,0,0,17.0,27.826666666666664,-10.826666666666664
0,3,1.3249054357820569,0,0,21.40000000000001,24.786666666666672,-3.386666666666663
0,5,1.1958207313709863,0,0,20.0,25.171428571428574,-5.171428571428574
0,2,0.6202134928535088,0,0,3.9,27.826666666666664,-23.926666666666666
0,1,1.0275572210339303,0,0,1.6,24.77857142857143,-23.178571428571427
0,1,1.584183596449293,0,0,8.700000000000001,24.77857142857143,-16.07857142857143
0,4,1.0182449361873296,0,0,10.400000000000002,23.7,-13.299999999999997
0,1,2.0361226262557466,0,0,11.1,24.77857142857143,-13.678571428571429
0,2,1.3287796313707076,0,0,32.0,27.826666666666664,4.173333333333336
0,2,1.9325490491119128,0,0,37.0,27.826666666666664,9.173333333333336
0,5,1.909325983528106,0,0,50.0,25.171428571428574,24.828571428571426
0,1,1.5528140647729742,0,0,26.0,24.77857142857143,1.2214285714285715
0,5,0.9307333528613526,0,0,17.300000000000004,25.171428571428574,-7.87142857142857
0,4,1.22498998494666,0,0,16.19999999999999,23.7,-7.500000000000011
0,4,0.2151766500246594,1,1,50.1,28.914285714285715,21.185714285714287
