subj_idx,distance_size,rt,stim,response,rating,mean_rating,rating_diff
0,2,0.5964043140411377,0,0.0,52.2,26.864285714285717,25.335714285714285
0,3,0.4278545379638672,0,0.0,29.1,34.42666666666666,-5.326666666666661
0,0,0.4537861347198486,0,0.0,45.60000000000001,22.573333333333334,23.026666666666674
0,0,0.5694756507873535,0,0.0,34.1,22.573333333333334,11.526666666666667
0,3,0.4567782878875732,0,0.0,55.3,34.42666666666666,20.873333333333335
0,1,0.4128952026367187,0,0.0,24.300000000000004,24.50769230769231,-0.20769230769230518
0,2,0.4198765754699707,0,0.0,24.9,26.864285714285717,-1.9642857142857189
0,3,0.489689826965332,0,0.0,21.8,34.42666666666666,-12.626666666666662
0,2,0.4487998485565185,0,0.0,11.1,26.864285714285717,-15.764285714285718
0,2,0.3939454555511474,0,0.0,49.2,26.864285714285717,22.335714285714285
0,0,0.5375621318817139,0,0.0,24.60000000000001,22.573333333333334,2.0266666666666744
0,3,0.4029219150543213,0,0.0,36.2,34.42666666666666,1.7733333333333405
0,1,0.4328432083129883,0,0.0,13.1,24.50769230769231,-11.40769230769231
0,1,0.3989319801330566,0,0.0,16.5,24.50769230769231,-8.00769230769231
0,3,0.952451229095459,0,0.0,21.9,34.42666666666666,-12.526666666666664
0,0,0.3949434757232666,0,0.0,18.499999999999996,22.573333333333334,-4.073333333333338
0,0,1.1668784618377686,0,0.0,17.29999999999999,22.573333333333334,-5.273333333333344
0,3,0.391951322555542,0,0.0,40.0,34.42666666666666,5.573333333333338
0,0,0.4089062213897705,0,0.0,11.6,22.573333333333334,-10.973333333333334
0,2,1.4291777610778809,0,0.0,6.499999999999999,26.864285714285717,-20.364285714285717
0,0,0.5086390972137451,0,0.0,14.3,22.573333333333334,-8.273333333333333
0,2,0.5216045379638672,0,0.0,6.500000000000002,26.864285714285717,-20.364285714285714
0,0,0.3879618644714355,0,0.0,42.0,22.573333333333334,19.426666666666666
0,1,0.38496994972229,0,0.0,17.0,24.50769230769231,-7.507692307692309
0,0,0.5146245956420898,0,0.0,26.0,22.573333333333334,3.426666666666666
0,3,0.4727354049682617,0,0.0,22.8,34.42666666666666,-11.626666666666662
0,2,1.2606284618377686,0,0.0,45.1,26.864285714285717,18.235714285714284
0,3,0.5964043140411377,0,0.0,46.0,34.42666666666666,11.573333333333338
0,1,0.4807140827178955,0,0.0,46.1,24.50769230769231,21.592307692307692
0,1,0.8926131725311279,0,0.0,28.600000000000016,24.50769230769231,4.092307692307706
0,2,0.5485329627990723,0,0.0,42.50000000000001,26.864285714285717,15.63571428571429
0,2,0.4069108963012695,0,0.0,18.1,26.864285714285717,-8.764285714285716
0,1,1.241678237915039,0,0.0,28.200000000000003,24.50769230769231,3.6923076923076934
0,1,1.8999180793762207,0,0.0,22.1,24.50769230769231,-2.407692307692308
0,3,0.7140905857086182,0,0.0,36.8,34.42666666666666,2.373333333333335
0,0,0.7031190395355225,0,0.0,39.2,22.573333333333334,16.62666666666667
0,3,1.087092399597168,0,0.0,37.1,34.42666666666666,2.673333333333339
0,3,0.9125583171844482,0,0.0,25.70000000000001,34.42666666666666,-8.726666666666652
0,0,1.1888196468353271,0,0.0,10.8,22.573333333333334,-11.773333333333333
0,1,2.140275001525879,0,0.0,46.400000000000006,24.50769230769231,21.892307692307696
0,1,0.8856296539306641,0,0.0,28.200000000000003,24.50769230769231,3.6923076923076934
0,3,1.124990463256836,0,0.0,24.099999999999987,34.42666666666666,-10.326666666666675
0,3,0.7819085121154785,0,0.0,57.0,34.42666666666666,22.573333333333338
0,1,0.5315780639648438,0,0.0,8.1,24.50769230769231,-16.407692307692308
0,0,1.113023281097412,0,0.0,11.0,22.573333333333334,-11.573333333333334
0,2,1.1878225803375244,0,0.0,29.0,26.864285714285717,2.1357142857142826
0,2,0.4657540321350097,0,0.0,30.0,26.864285714285717,3.1357142857142826
0,2,1.7014501094818115,0,0.0,39.1,26.864285714285717,12.235714285714284
0,3,1.032238483428955,0,0.0,57.0,34.42666666666666,22.573333333333338
0,0,0.7390227317810059,0,0.0,33.0,22.573333333333334,10.426666666666666
0,0,2.553171157836914,0,0.0,2.2,22.573333333333334,-20.373333333333335
0,1,0.8726658821105957,0,0.0,13.9,24.50769230769231,-10.607692307692309
0,0,0.8257920742034912,0,0.0,8.399999999999999,22.573333333333334,-14.173333333333336
0,3,0.4966704845428467,0,0.0,5.600000000000001,34.42666666666666,-28.82666666666666
0,2,1.641608715057373,0,0.0,13.9,26.864285714285717,-12.964285714285717
0,2,1.1579020023345947,0,0.0,8.0,26.864285714285717,-18.864285714285717
0,1,0.8028523921966553,0,0.0,26.1,24.50769230769231,1.592307692307692
0,2,0.542548418045044,1,1.0,48.2,46.0,2.200000000000003
0,3,0.432842493057251,1,1.0,48.1,44.586666666666666,3.5133333333333354
0,0,1.2596311569213867,1,1.0,53.1,42.82142857142857,10.278571428571432
0,0,0.4069106578826904,1,1.0,54.9,42.82142857142857,12.07857142857143
0,3,0.4278547763824463,1,1.0,69.0,44.586666666666666,24.413333333333334
0,0,0.436830997467041,1,1.0,53.7,42.82142857142857,10.878571428571433
0,3,0.9364955425262452,1,1.0,57.0,44.586666666666666,12.413333333333334
0,1,0.5166192054748535,1,1.0,50.2,41.871428571428574,8.32857142857143
0,2,0.4976680278778076,1,1.0,31.0,46.0,-15.0
0,3,0.4099030494689941,1,1.0,45.6,44.586666666666666,1.0133333333333354
0,2,0.3739988803863525,1,1.0,37.60000000000001,46.0,-8.399999999999991
